cluster_id,topic_name,description,keywords,n_items,examples,created_at,last_updated_at
1088,Size Quality Good,"Feedbacks about: ""size, good quality"", ""good size, quality"", ""nice size, purpose"".","size, quality, good, nice, purpose, okay",8651,"Easy to hang. Nice size. Not the prettiest shelf but serves the purpose. || To small for size 12... not good quality || Nice socks, they seem a little larger than the size posted- other than that good quality || These are just okay quality, but difficult to find this size so using them for now. Might be better for lighter weight f || Opens some can nicely, but not all. It depends on the size of the lip of the can--if too thick, it will not work. It is ",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
1020,Book Story Boken,"Feedbacks about: ""book, story"", ""boken"".","book, story, boken",6369,"boken, was returned 2 x || I really liked this book. The story drew me in and held my attention though the end. I dropped one star from the rating  || Becoming Quinn is the book that gives the back story on how Quinn came into existence, and became The Cleaner. This book || This book is the story of Hunter and Kate. He’s a single dad and she is his one-night stand who turns into his tenant, t || This book improves the further you get into it, I'm not sure yet whether I will get book 4. I'm not very much into this ",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
812,Tasted Mat Gril,"Feedbacks about: ""tasted"", ""gril mat"", ""mat, indent"".","tasted, mat, gril, indent, flavor, chore",4061,"The only thing i dislike about it is, it said it comes with gril mats but I didnt get any. || I am so disappointed with this mat. :( It is not durable at all! After only one use it was covered with indents from elb || The flavor is a little odd to me, but it's not a chore to drink. The vitamins and such in this really help make me feel  || Great taste, but came finely grated in to a powder. || Arrived leaky... and tasted horrible",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
904,Child Daughter Kid,"Feedbacks about: ""child"", ""daughter, kid"".","child, daughter, kid",3381,"Got this for my daughter and I intended on helping her but this is way too advanced for kids (or even me) you need tools || Had one from another child that worked great. Very warm. Got this one and not nearly as warm. || Perfect quality my child loves it || Better than I expected and my children ages 4 and 8 loved it || Very good, very valuable for learning, children like it very much",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
1080,Great Excellent Albiet,"Feedbacks about: ""excellent product, product"", ""great product, product"", ""product, albiet"".","great, excellent, albiet, suitor, usa",2983,"The product works OK, smells OK, albiet not great- I am just not satisfied with the performance. I have used similarly p || Extremely disappointed in this product. I finally used it traveling this past weekend and it is not very good. I especia || I liked the product and made great use of them. I went on a Carribean vacation and wore very revealing clothing that mad || Product delivered promptly. Excellent product, Always had troubles with chargers but this one is the perfect length and  || I'm so glad I stumbled across this product, because it has seriously improved my WiFi speed. Using it on an older laptop",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
535,Light,"Feedbacks about: ""light"".",light,2734,After 2 weeks one light went out already || The lights kept fading in and out. Can’t get this thing to perform properly || I bought these because they look just like lights I bought previously for early morning runs. These lights are not very  || My 3 yr old loves the lights sounds and that it will roll. || Perfect fit and easy to install. Lights up pretty good and looks good. Hopefully it last a long time.,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
600,Sound Music Divice,"Feedbacks about: ""sound, music"", ""sound, divice"", ""sound, mic"".","sound, music, divice, mic, great, ton",2616,"Sound was ok but the divice fell apart in one month || sound is good, but the mic barely pics up anything. i use discord and the people i talk to can barely ever hear me, whic || This item has great sound. I wish the base as a little deeper though. When turned up to the max it gets a little distort || Sound with music is fine phone calls don’t work || Fit well sound good just have to put them in before turning on music or u will pause it",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
996,Price Great Good,"Feedbacks about: ""well price"", ""great price, good"", ""great amount, price"".","price, great, good, well, amount, quantity",2446,"What else needs to be said? Exactly as advertised at a better price than I found anywhere else. || So good! I love it. Wish it was a better price || For the price, these lint rollers are amazing. I love that it comes with a cover and once removed, it actually picks up  || Great price for a good quantity to stock up on. Unlike Amlactin or other exfoliating lotions this does not burn or sting || The good: the map is very handy and is packed with useful information. It takes up very little space and easily fits in ",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
467,Bag Pocket Disney,"Feedbacks about: ""bag, pocket"", ""disney, bag"".","bag, pocket, disney",2352,"We took this to Disney and after the third day using it, the bag ripped at the seams. I placed four regular sized water  || The bag feels good when you carry it. The front pocket does not have a full zip so items can fall out and the back zip p || I really like the this bag. Has many pockets and the fabric is nice and bendable it's not stiff compared to other bags I || I love this bag! It has many pockets and holds a lot for this mama! So cute and soft! || I love this bag. All the pockets let me keep organized. It's lightweight so it's not already heavy before you even start",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
569,Foot Shoe Sock,"Feedbacks about: ""shoe, foot"", ""foot, sock"".","foot, shoe, sock",2297,"The foot part of the sock was too big for the size it was suppose to fit, washing did not help, cannot use them. || I thought this would be thick and make my feet soft, but I needed to use a LOT and not rub it in, then put on socks. Not || Guess they would be okay if you wore them barefoot, but they are too bulky for shoes. They wrap around your foot and Vel || I found this shoe difficult to stay on my feet and would not buy it again. || The shoes fit well but your feet do slide out the back as mentioned in previous reviews. I am a size 7 in women's for mo",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
412,Cup Mug Packet,"Feedbacks about: ""packet, mug"", ""stainless cup, cup mug"", ""sippy cup, brand"".","cup, mug, packet, stainless, sippy, brand",2296,"Tastes great, but I need to use two packets to make a mug of coffee, so that increases the cost per cup (mug). || There are lots of stainless cups, but cups/mugs with a HANDLE are becoming extinct. I bought TWO since cups with a handl || My LO liked this sippy cup but it would always leak. We ended up with another brand instead || First of all, this mug is wayyy over priced. When trying to return item, not opened and unused, they are charging me an  || The cup is very well made and keeps my drink cold! The only reason I didn't give it five stars is because I ordered Purp",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
